facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,review_note
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,11.001,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,25,34,0,5,64,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,12.607,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,22,35,0,5,62,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,17.417,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,13,34,0,5,52,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,18.732,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,11,35,0,5,51,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,SL-AG-001(Bardsey),6247129,53.88994,-1.4395,7.539,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,31,12,0,5,48,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,SL-AG-001(Bardsey),6247129,53.88994,-1.4395,9.744,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,27,12,0,5,44,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,Bradford Mayo Avenue,2301,53.771245,-1.759774,21.492,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Bradford | Europe/London,6,10,15,5,36,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,Dean House,6254734,53.7843,-1.646,16.192,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,15,12,0,5,32,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,Bradford Mayo Avenue,2301,53.771245,-1.759774,27.902,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Bradford | Europe/London,0,10,15,5,30,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,Dean House,6254734,53.7843,-1.646,22.759,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,4,12,0,5,21,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
