facility,facility_key,overlay_status,best_candidate_site,best_candidate_score,best_candidate_class,suggested_action
Allerton Waste Recovery Park,allerton,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Allington Quarry Waste Management Facility,allington,candidate_overlay_needs_review,Chatham Roadside - UKA00553,61,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Ardley ERF,ardley,candidate_overlay_needs_review,Oxford St Ebbes,78,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Beddington ERF,beddington,candidate_overlay_needs_review,Sutton - Beddington Lane north,87,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Bolton WtE,bolton,candidate_overlay_needs_review,Glazebury - UKA00170,85,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Chineham EfW,chineham,candidate_overlay_needs_review,Chilbolton Observatory - UKA00614,69,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Cornwall ERC,cornwall,no_candidate_selected_yet,,,,query_or_manual_review
Crossness Sludge Plant,crossness,candidate_overlay_needs_review,Bexley - Slade Green,95,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
CSWDC Coventry,coventry,candidate_overlay_needs_review,Coventry Allesley - UKA00592,93,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Devonport Dockyard,devonport,candidate_overlay_needs_review,Plymouth Centre - UKA00360,98,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Dudley EfW,dudley,candidate_overlay_needs_review,Oldbury Birmingham Road - UKA00595,79,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Eastcroft EfW,eastcroft,candidate_overlay_needs_review,Nottingham Centre,100,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Exeter ERF,exeter,candidate_overlay_needs_review,Exeter Roadside - UKA00263,81,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Fawley Incinerator,fawley,candidate_overlay_needs_review,Southampton Centre - UKA00235,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Ferrybridge MF2,ferrybridgemf2,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Glanford PS,glanfordps,candidate_overlay_needs_review,Scunthorpe Town - UKA00381,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Gloucestershire Javelin Park,gloucestershirejavelin,candidate_overlay_needs_review,Chepstow A48,51,plausible_candidate_needs_review,review_geography_and_source_before_use
Great Blakenham EfW,greatblakenham,candidate_overlay_needs_review,Sibton - UKA00012,47,plausible_candidate_needs_review,review_geography_and_source_before_use
Greatmoor EfW,greatmoor,candidate_overlay_needs_review,Oxford St Ebbes,57,plausible_candidate_needs_review,review_geography_and_source_before_use
Hartlebury EfW,hartlebury,candidate_overlay_needs_review,Oldbury Birmingham Road - UKA00595,61,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Isle of Man Incinerator,isleofman,no_candidate_selected_yet,,,,query_or_manual_review
Isle of Wight Gasification,isleofwight,candidate_overlay_needs_review,Southampton Centre - UKA00235,69,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Kirklees EfW,kirklees,candidate_overlay_needs_review,Barnsley Gawber - UKA00353,69,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
Lakeside EfW,lakeside,candidate_overlay_needs_review,London Hillingdon - UKA00266,85,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Leeds RERF,leeds,validated_existing_overlay,,,,use_validated_overlay
Lincoln ERF,lincoln,candidate_overlay_needs_review,Lincoln Canwick Road - UKA00561,75,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
London EcoPark,londonecopark,validated_existing_overlay,,,,use_validated_overlay
Marchwood ERF,marchwood,candidate_overlay_needs_review,Southampton Centre - UKA00235,95,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Milton Keynes WRP,miltonkeyneswrp,candidate_overlay_needs_review,Milton Keynes,49,plausible_candidate_needs_review,review_geography_and_source_before_use
Newhaven ERF,newhaven,validated_existing_overlay,,,,use_validated_overlay
Newlincs EfW,newlincs,candidate_overlay_needs_review,Hull Freetown - UKA00450,59,plausible_candidate_needs_review,review_geography_and_source_before_use
North Hykeham Incinerator,northhykeham,candidate_overlay_needs_review,Lincoln Canwick Road - UKA00561,55,plausible_candidate_needs_review,review_geography_and_source_before_use
Peterborough ERF,peterborough,candidate_overlay_needs_review,"Crowland, lincolnshire",42,supporting_context_community_sensor,use_as_supporting_context_only
Portsmouth ERF,portsmouth,candidate_overlay_needs_review,Portsmouth Background AURN,93,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Red Moss Landfill,redmosslandfill,candidate_overlay_needs_review,Manchester Piccadilly - UKA00248,87,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Riverside RR ERF,riverside,validated_existing_overlay,,,,use_validated_overlay
Runcorn EfW,runcorn,validated_existing_overlay,,,,use_validated_overlay
SELCHP,selchp,validated_existing_overlay,,,,use_validated_overlay
Sheffield ERF,sheffield,validated_existing_overlay,,,,use_validated_overlay
Shrewsbury Incinerator,shrewsbury,candidate_overlay_needs_review,"Shrewsbury, UK",54,plausible_candidate_needs_review,review_geography_and_source_before_use
Stoke EfW,stoke,candidate_overlay_needs_review,Stoke-on-Trent Centre - UKA00337,93,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Teesside EfW,teesside,candidate_overlay_needs_review,Middlesbrough - UKA00220,95,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Thetford Incinerator,thetford,no_candidate_selected_yet,,,,query_or_manual_review
Tyseley EfW,tyseley,validated_existing_overlay,,,,use_validated_overlay
Westfield Incinerator,westfield,candidate_overlay_needs_review,Charlton Mackrell - UKA00537,85,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
Wolverhampton EfW,wolverhampton,candidate_overlay_needs_review,Oldbury Birmingham Road - UKA00595,72,local_or_official_candidate_needs_review,review_as_local_or_official_overlay_candidate
